Overall_Ranking,City,Country,5-Stars Hotel ($ per Night),4-Stars Hotel ($ per Night),3-Stars Hotel ($ per Night),2-Stars Hotel ($ per Night),1-Star Hotel ($ per Night),Hostel ($ per Night),Average,Airbnb_Price,Airbnb_Ranking,Localized City Name,Latitude,Longitude,Year
76,Lyon,France,173,98,80,73,66,32,71,,,Lyon,45.75,4.85,2014
3,Macao,China,353,247,193,162,155,35,168,213,36,_Ÿ_èè¿____ÁïÎƒ±ÎÍëÎì†_____óç__Î_«èçë_îËÎçó,22.166667,113.55,2014
123,Madeira,Portugal,207,90,60,50,44,34,52,35,2,Madeira,32.651111,-16.909722,2014
69,Madrid,Spain,232,95,93,75,55,20,74,,,Madrid,40.42,-3.71,2014
113,Malaga,Spain,226,101,60,51,39,16,57,,,Míçlaga,36.719444,-4.42,2014
80,Mallorca,Spain,265,120,79,53,49,35,70,,,Majorca,39.616667,2.983333,2014
28,Manchester,United Kingdom,226,140,110,88,86,24,100,,,Manchester,53.5,-2.22,2014
128,Marrakech,Morocco,199,84,50,41,37,10,48,,,™ƒø±ø_™€øÇ,31.63,-8,2014
81,Marseille,France,212,112,81,69,54,19,69,,,Marseille-Aix-en-Provence,49.56,1.96,2014
25,Melbourne,Australia,206,165,117,110,66,27,102,,,Melbourne,-37.81,144.96,2014
139,Mexico City,Mexico,139,79,51,21,17,14,42,,,Ciudad de Mí©xico,19.5,-99.12,2014
4,Miami,United States,680,311,216,130,102,52,167,193,31,Miami,25.78768,-80.22414,2014
78,Milan,Italy,403,98,73,61,54,22,71,,,Milano,45.48,9.19,2014
77,Modena,Italy,123,109,87,70,46,22,71,,,Modena,44.65,10.933333,2014
93,Mons,Belgium,102,99,85,75,61,24,66,50,10,Bergen,50.45,3.95,2014
10,Monte Carlo,Monaco,509,268,160,118,31,24,134,202,33,Monte-Carlu,43.739722,7.427222,2014
55,Montreal,Canada,172,157,112,66,62,20,82,,,Montrí©al,45.5,-73.566667,2014
84,Moscow,Russia,167,96,70,56,54,15,68,,,_ì__ãÅ_____Á,55.75,37.62,2014
116,Mumbai,India,146,86,71,52,38,10,54,,,M__mè_baÄÈ,18.93,72.85,2014
72,Munich,Germany,252,103,84,72,49,20,73,,,Mí_nchen,48.13,11.58,2014
36,Muscat,Oman,481,162,109,79,61,32,94,,,™ƒø_™‰ø‡,23.6,58.583333,2014
48,Namur,Belgium,251,170,100,86,50,24,87,,,Namen,50.466667,4.866667,2014
103,Naples,Italy,199,93,69,61,53,20,63,,,Napoli,40.85,14.27,2014
5,Nassau,Bahamas,541,253,220,120,98,37,150,171,24,Nassau,25.06,-77.345,2014
1,New York,United States,669,410,335,269,168,65,246,231,38,New York-Newark,40.72486,-74.08903,2014
32,Newcastle,United Kingdom,197,113,88,88,59,27,97,208,34,Newcastle upon Tyne,54.98806,-1.619444,2014
71,Nice,France,226,118,86,64,57,17,73,,,Nice-Cannes,43.7,7.25,2014
82,Nuremberg,Germany,111,83,79,67,44,27,69,,,Ní_rnberg,49.45,11.083333,2014
67,Oslo,Norway,328,116,102,56,32,39,75,,,Oslo,59.91,10.75,2014
17,Paris,France,472,235,152,112,82,36,117,,,Paris,48.87,2.33,2014
110,Prague,Czech Republic,214,111,71,28,22,17,60,,,Praha,50.08,14.43,2014
40,Punta Cana,Dominican Republic,1323,174,81,42,40,24,92,193,32,Punta Cana,18.533333,-68.366667,2014
97,Reims,France,679,118,77,65,50,21,64,55,11,Reims,49.2628,4.0347,2014
51,Reykjavik,Iceland,273,144,104,70,41,25,85,,,Reykjavik,64.133333,-21.933333,2014
132,Riga,Latvia,237,74,49,34,31,11,45,,,RÛ‚ga,56.948889,24.106389,2014
30,Rio de Janeiro,Brazil,276,147,124,69,55,25,99,176,27,Rio de Janeiro,-22.9,-43.23,2014
43,Rome,Italy,324,133,100,86,72,25,91,,,Roma,41.89,12.5,2014
107,Rotterdam,Netherlands,125,86,67,58,51,25,61,,,Rotterdam,51.93,4.48,2014
63,Rugen,Germany,248,148,86,60,47,19,77,,,Rugia,54.416667,13.4,2014
9,San Francisco,United States,454,215,186,156,81,30,141,178,28,San Francisco-Oakland,37.75988,-122.4374,2014
83,San Sebastian,Spain,389,86,79,77,65,24,68,,,San Sebastiíçn,43.321389,-1.985556,2014
121,Santiago de Compostela,Spain,87,67,56,50,45,15,53,,,Santiago de Compostela,42.877778,-8.544444,2014
111,Sao Paulo,Brazil,165,90,76,46,28,19,57,,,Sí£o Paulo,-23.55,-46.633333,2014
122,Sarajevo,Bosnia and Herzegovina,95,93,66,62,33,12,52,47,9,Grad Sarajevo,43.866667,18.416667,2014
53,Seoul,South Korea,249,147,98,82,80,20,85,,,Ò‹ìÒ_ŸÒ†ì,37.57,127,2014
106,Seville,Spain,265,77,75,62,44,20,62,,,Sevilla,37.377222,-5.986944,2014
141,Shanghai,China,144,79,42,34,18,9,41,,,_Ÿ__µ‡ÎŸ‰,31.23,121.47,2014
37,Singapore,Singapore,259,160,110,85,50,21,94,,,Singapura,1.3,103.85,2014
70,Siracusa,Italy,142,130,75,69,50,37,74,,,Syracuse,37.083333,15.283333,2014
138,Skopje,Macedonia,100,73,44,39,31,10,42,,,_ç_____ËãÖ_µ,42,21.433333,2014
127,Sochi,Russia,369,66,53,44,33,11,49,,,_ç__ãˆ_Ÿ,43.585278,39.720278,2014
148,Sofia,Bulgaria,87,60,44,31,25,10,35,42,5,_ç__ã‹_Ÿãè,42.69,23.31,2014
2,St. Moritz,Switzerland,687,393,192,177,121,46,183,171,23,Sankt Moritz,46.5,9.833333,2014
134,St. Petersburg,Russia,133,75,55,44,22,15,45,,,_ç_Á____ã‰-_ô_µã‰_µãó_±ã€ãó__,59.89,30.26,2014
22,St. Tropez,France,592,237,98,69,50,37,107,,,Saint-Tropez,43.273296,6.639621,2014
45,Stockholm,Sweden,184,120,108,80,58,29,88,,,Estocolmo,59.33,18.05,2014
65,Stuttgart,Germany,146,98,77,76,55,31,76,,,Stuttgart,48.783333,9.183333,2014
20,Sydney,Australia,277,175,130,96,74,40,114,168,22,Sydney,-33.87,151.21,2014
104,Tallinn,Estonia,136,95,71,44,32,15,62,,,Tallinn,59.437222,24.745278,2014
118,Tbilisi,Georgia,270,108,69,46,34,10,54,56,13,à€„à€ïà€Öà€_à€Öà€çà€Ö,41.72,44.78,2014
89,The Hague,Netherlands,112,93,78,63,49,25,67,,,Den Haag,52.083333,4.316667,2014
150,Tirana,Albania,87,70,40,22,19,12,32,30,1,Tiraní‚,41.33,19.82,2014
38,Tokyo,Japan,289,178,95,67,52,27,94,,,_ù±__å_€_,35.69,139.75,2014
39,Toronto,Canada,359,157,120,89,61,22,93,,,Toronto,43.67,-79.42,2014
90,Toulouse,France,122,106,69,69,65,25,66,,,Toulouse,43.6,1.43,2014
88,Turin,Italy,148,110,63,58,56,24,67,,,Torino,45.066667,7.7,2014
68,Utrecht,Netherlands,128,98,93,85,59,24,74,,,Utrecht,52.083333,5.116667,2014
112,Valencia,Spain,170,65,58,53,44,20,57,,,Valencia,10.18,-68,2014
7,Venice,Italy,391,262,154,131,128,32,146,166,21,Venezia,45.4375,12.335833,2014
64,Vienna,Austria,233,103,78,67,63,20,76,,,Wien,48.12,16.22,2014
124,Vilnius,Lithuania,139,79,54,40,27,11,50,,,Vilnius,54.683333,25.283333,2014
143,Warsaw,Poland,74,53,47,38,34,16,41,56,16,Warszawa,52.26,21.02,2014
23,Washington DC,United States,367,129,122,113,82,30,104,,,"Washington, D.C.",38.88,-77.03,2014
117,Zagreb,Croatia,106,95,69,45,44,16,54,56,12,Zagreb,45.816667,15.983333,2014
126,Zaragoza,Spain,93,72,50,49,29,20,49,,,Zaragoza,41.65,-0.883333,2014
13,Zurich,Switzerland,415,167,150,114,132,47,130,172,25,Zí_rich,47.37,8.55,2014
