Overall_Ranking,City,Country,Region,Five,Four,Three,Two,One,Hostel,Average,Airbnb_Price,Airbnb_Ranking,Localized City Name,Latitude,Longitude,Year
32,Newcastle,United Kingdom,Europe,197,113,88,88,59,27,97,208,34,Newcastle upon Tyne,54.98806,-1.619444,2014
71,Nice,France,Europe,226,118,86,64,57,17,73,,,Nice-Cannes,43.7,7.25,2014
82,Nuremberg,Germany,Europe,111,83,79,67,44,27,69,,,NÕ_rnberg,49.45,11.083333,2014
67,Oslo,Norway,Europe,328,116,102,56,32,39,75,,,Oslo,59.91,10.75,2014
17,Paris,France,Europe,472,235,152,112,82,36,117,,,Paris,48.87,2.33,2014
110,Prague,Czech Republic,Europe,214,111,71,28,22,17,60,,,Praha,50.08,14.43,2014
40,Punta Cana,Dominican Republic,Caribbean,1323,174,81,42,40,24,92,193,32,Punta Cana,18.533333,-68.366667,2014
97,Reims,France,Europe,679,118,77,65,50,21,64,55,11,Reims,49.2628,4.0347,2014
51,Reykjavik,Iceland,Europe,273,144,104,70,41,25,85,,,Reykjavik,64.133333,-21.933333,2014
132,Riga,Latvia,Europe,237,74,49,34,31,11,45,,,R—‰ga,56.948889,24.106389,2014
30,Rio de Janeiro,Brazil,South America,276,147,124,69,55,25,99,176,27,Rio de Janeiro,-22.9,-43.23,2014
43,Rome,Italy,Europe,324,133,100,86,72,25,91,,,Roma,41.89,12.5,2014
107,Rotterdam,Netherlands,Europe,125,86,67,58,51,25,61,,,Rotterdam,51.93,4.48,2014
63,Rugen,Germany,Europe,248,148,86,60,47,19,77,,,Rugia,54.416667,13.4,2014
9,San Francisco,United States,North America,454,215,186,156,81,30,141,178,28,San Francisco-Oakland,37.75988,-122.4374,2014
83,San Sebastian,Spain,Europe,389,86,79,77,65,24,68,,,San SebastiÕçn,43.321389,-1.985556,2014
121,Santiago de Compostela,Spain,Europe,87,67,56,50,45,15,53,,,Santiago de Compostela,42.877778,-8.544444,2014
111,Sao Paulo,Brazil,South America,165,90,76,46,28,19,57,,,SÕ£o Paulo,-23.55,-46.633333,2014
122,Sarajevo,Bosnia and Herzegovina,Europe,95,93,66,62,33,12,52,47,9,Grad Sarajevo,43.866667,18.416667,2014
53,Seoul,South Korea,Asia,249,147,98,82,80,20,85,,,–†Ò–_ô–ÊÒ,37.57,127,2014
106,Seville,Spain,Europe,265,77,75,62,44,20,62,,,Sevilla,37.377222,-5.986944,2014
141,Shanghai,China,Asia,144,79,42,34,18,9,41,,,_ô__µˆ‘ô_,31.23,121.47,2014
37,Singapore,Singapore,Asia,259,160,110,85,50,21,94,,,Singapura,1.3,103.85,2014
70,Siracusa,Italy,Europe,142,130,75,69,50,37,74,,,Syracuse,37.083333,15.283333,2014
138,Skopje,Macedonia,Asia,100,73,44,39,31,10,42,,,_ç_____èÜÉ_µ,42,21.433333,2014
127,Sochi,Russia,Asia,369,66,53,44,33,11,49,,,_ç__Ü__ô,43.585278,39.720278,2014
148,Sofia,Bulgaria,Europe,87,60,44,31,25,10,35,42,5,_ç__Ü†_ôÜè,42.69,23.31,2014
2,St. Moritz,Switzerland,Europe,687,393,192,177,121,46,183,171,23,Sankt Moritz,46.5,9.833333,2014
134,St. Petersburg,Russia,Asia,133,75,55,44,22,15,45,,,_ç_ç____Ü_-_ª_µÜ__µÜÑ_±ÜóÜÑ__,59.89,30.26,2014
22,St. Tropez,France,Europe,592,237,98,69,50,37,107,,,Saint-Tropez,43.273296,6.639621,2014
45,Stockholm,Sweden,Europe,184,120,108,80,58,29,88,,,Estocolmo,59.33,18.05,2014
65,Stuttgart,Germany,Europe,146,98,77,76,55,31,76,,,Stuttgart,48.783333,9.183333,2014
20,Sydney,Australia,Australia,277,175,130,96,74,40,114,168,22,Sydney,-33.87,151.21,2014
104,Tallinn,Estonia,Europe,136,95,71,44,32,15,62,,,Tallinn,59.437222,24.745278,2014
118,Tbilisi,Georgia,Middle East,270,108,69,46,34,10,54,56,13,öó‹öó¥öóÉöó_öóÉöóçöóÉ,41.72,44.78,2014
89,The Hague,Netherlands,Europe,112,93,78,63,49,25,67,,,Den Haag,52.083333,4.316667,2014
150,Tirana,Albania,Europe,87,70,40,22,19,12,32,30,1,TiranÕ‰,41.33,19.82,2014
38,Tokyo,Japan,Asia,289,178,95,67,52,27,94,,,_ù±__Î_ó_,35.69,139.75,2014
39,Toronto,Canada,North America,359,157,120,89,61,22,93,,,Toronto,43.67,-79.42,2014
90,Toulouse,France,Europe,122,106,69,69,65,25,66,,,Toulouse,43.6,1.43,2014
88,Turin,Italy,Europe,148,110,63,58,56,24,67,,,Torino,45.066667,7.7,2014
68,Utrecht,Netherlands,Europe,128,98,93,85,59,24,74,,,Utrecht,52.083333,5.116667,2014
112,Valencia,Spain,Europe,170,65,58,53,44,20,57,,,Valencia,10.18,-68,2014
7,Venice,Italy,Europe,391,262,154,131,128,32,146,166,21,Venezia,45.4375,12.335833,2014
64,Vienna,Austria,Europe,233,103,78,67,63,20,76,,,Wien,48.12,16.22,2014
124,Vilnius,Lithuania,Europe,139,79,54,40,27,11,50,,,Vilnius,54.683333,25.283333,2014
143,Warsaw,Poland,Europe,74,53,47,38,34,16,41,56,16,Warszawa,52.26,21.02,2014
23,Washington DC,United States,North America,367,129,122,113,82,30,104,,,"Washington, D.C.",38.88,-77.03,2014
117,Zagreb,Croatia,Europe,106,95,69,45,44,16,54,56,12,Zagreb,45.816667,15.983333,2014
126,Zaragoza,Spain,Europe,93,72,50,49,29,20,49,,,Zaragoza,41.65,-0.883333,2014
13,Zurich,Switzerland,Europe,415,167,150,114,132,47,130,172,25,ZÕ_rich,47.37,8.55,2014
